Course Code,Course Title,Course Description,Outcome Type,Period,Outcome Number,Outcome Text
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO1,determine a wide variety of learning algorithms;
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO2,demonstrate how to evaluate models generated from data;
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO3,develop an appreciation for what is involved in learning models from data;
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO4,apply the algorithm to a real-world problem;
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO5,formulate the optimize models learned and report on the expected accuracy that can be achieved by applying the models.
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO1,Explain the machine learning in a nutshell.
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO2,Demonstrate your knowledge of various algorithms; and
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO3,Show your appreciation for the algorithms used in machine learning
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO4,Identify and establish corpus data models.
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO 5,Apply data pre-processing techniques to integrate essential elements.
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO6,"Apply working with datasets, splitting and feature calling."
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TL06,Support observation to best fitting the data.
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO7,Classify domain areas of machine learning
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TL08,Exhibits and demonstrate data observation.
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TL09,Generate and evaluate data observation using python.
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO10,"Collaboration, individual assessment to design and create a research paper project."
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Final Period,TL06,Support observation to best fitting the data
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Final Period,TLO7,Classify domain areas of machine learning
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Final Period,TL08,Exhibits and demonstrate data observation.
S-CSIS311 - LAB,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Final Period,TLO9,Generate and evaluate data observation using python.
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO1,determine a wide variety of learning algorithms;
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO2,demonstrate how to evaluate models generated from data;
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO3,develop an appreciation for what is involved in learning models from data;
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO4,apply the algorithm to a real-world problem;
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO5,formulate the optimize models learned and report on the expected accuracy that can be achieved by applying the models.
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO1,Explain the machine learning in a nutshell.
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO2,Demonstrate your knowledge of various algorithms; and
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO3,Show your appreciation for the algorithms used in machine learning
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO4,Identify and establish corpus data models.
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO 5,Apply data pre-processing techniques to integrate essential elements.
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO6,"Apply working with datasets, splitting and feature calling."
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TL06,Support observation to best fitting the data.
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO7,Classify domain areas of machine learning
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TL08,Exhibits and demonstrate data observation.
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TL09,Generate and evaluate data observation using python.
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Midterm,TLO10,"Collaboration, individual assessment to design and create a research paper project."
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Final Period,TL06,Support observation to best fitting the data
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Final Period,TLO7,Classify domain areas of machine learning
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Final Period,TL08,Exhibits and demonstrate data observation.
S-CSIS311 - LEC,Introduction to Machine Learning,"This course deals with the fundamentals machine learning techniques, as well as hands-on experience applying these techniques and developing new techniques for solving problems from the real world; topics include regression (least square regression, lasso), classification (naive Bayes, nearest support vector machines, logistic regression), kernel methods, unsupervised methods (k-means clustering, dimensionality reduction), stochastic optimization, deep learning and recent advances in big data analytics. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Topic Learning Outcome,Final Period,TLO9,Generate and evaluate data observation using python.
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Course Learning Outcome,,CLO1,understand the intuition behind neural network;
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Course Learning Outcome,,CLO2,demonstrate how to assess data-driven models and how to visualize the outcomes of algorithms;
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Course Learning Outcome,,CLO3,build a powerful Machine Learning models and understand how to combine them to resolve the problem;
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Course Learning Outcome,,CLO4,apply the machine learning classification and clustering algorithms;
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Course Learning Outcome,,CLO5,formulate optimal models and use TensorFlow coding methods to address real-world issues;
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Topic Learning Outcome,Midterm,TLO1,Explain the artificial intelligence and machine learning.
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Topic Learning Outcome,Midterm,TLO2,Distinguish artificial intelligence learning methods.
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Topic Learning Outcome,Midterm,TLO3,Demonstrate and apply data preprocessing tools.
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Topic Learning Outcome,Midterm,TLO4,"Apply working with datasets, splitting and feature calling."
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Topic Learning Outcome,Midterm,TLO5,Determine and generate the corpus data models
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Topic Learning Outcome,Midterm,TL06,Support observation to best fitting the data
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Topic Learning Outcome,Midterm,TLO7,Enhance the effectiveness of algorithm by transforming them while adding intelligent features.
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Topic Learning Outcome,Midterm,TLO8,Exhibits and demonstrate data observation.
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Topic Learning Outcome,Midterm,TLO9,Generate and evaluate data observation.
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Topic Learning Outcome,Midterm,TLO10,Collaboratively develop application and create a research paper project.
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Topic Learning Outcome,Final Period,TL06,Support observation to best fitting the data
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Topic Learning Outcome,Final Period,TLO7,Classify domain areas of machine learning
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Topic Learning Outcome,Final Period,TL08,Exhibits and demonstrate data observation.
S-CSIS414 - LEC,Machine Learning 2,"This course deals with advanced study on how to build computer systems that learn from experience. It is a subfield of Artificial Intelligence and intersects with statistics, cognitive science, information theory, and probability theory, among others. The course explains on how to build systems that learn and adapt using real-world applications from industry and scientific study.",Topic Learning Outcome,Final Period,TLO9,Generate and evaluate data observation using python.
S-CSIS312 - LAB,Natural Language Processing,"This course is intended to present a fairly broad introduction to Natural Language Processing (NLP), the study of computing systems that can process, understand, or communicate in human language, The primary focus of the course is on understanding various NLP tasks, algorithm for effectively solving these problems, and method for evaluating their performance. There is also a focus on statistical and neural network learning algorithms that train on (annotated) text corpora to automatically acquire the knowledge needed to perform the task. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO1,"relate, process, and analyze formative data in data science;"
S-CSIS312 - LAB,Natural Language Processing,"This course is intended to present a fairly broad introduction to Natural Language Processing (NLP), the study of computing systems that can process, understand, or communicate in human language, The primary focus of the course is on understanding various NLP tasks, algorithm for effectively solving these problems, and method for evaluating their performance. There is also a focus on statistical and neural network learning algorithms that train on (annotated) text corpora to automatically acquire the knowledge needed to perform the task. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO2,"demonstrate, generate, and perform how to process generated from data;"
S-CSIS312 - LAB,Natural Language Processing,"This course is intended to present a fairly broad introduction to Natural Language Processing (NLP), the study of computing systems that can process, understand, or communicate in human language, The primary focus of the course is on understanding various NLP tasks, algorithm for effectively solving these problems, and method for evaluating their performance. There is also a focus on statistical and neural network learning algorithms that train on (annotated) text corpora to automatically acquire the knowledge needed to perform the task. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO3,evaluate and formulate exploratory data analysis in NLP using computational tools to manipulate natural languages;
S-CSIS312 - LAB,Natural Language Processing,"This course is intended to present a fairly broad introduction to Natural Language Processing (NLP), the study of computing systems that can process, understand, or communicate in human language, The primary focus of the course is on understanding various NLP tasks, algorithm for effectively solving these problems, and method for evaluating their performance. There is also a focus on statistical and neural network learning algorithms that train on (annotated) text corpora to automatically acquire the knowledge needed to perform the task. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO4,apply the algorithm to a real-world problem and other domain areas;
S-CSIS312 - LAB,Natural Language Processing,"This course is intended to present a fairly broad introduction to Natural Language Processing (NLP), the study of computing systems that can process, understand, or communicate in human language, The primary focus of the course is on understanding various NLP tasks, algorithm for effectively solving these problems, and method for evaluating their performance. There is also a focus on statistical and neural network learning algorithms that train on (annotated) text corpora to automatically acquire the knowledge needed to perform the task. Student can attend seminars, workshops, and training in relevant disciplines onsite or online.",Course Learning Outcome,,CLO5,"design, modify and develop how algorithm works relevant in research papers."
